"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","player","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
"14858","Van","Jefferson","LAR","WR",25,0,"WR","average",60.8173333333333,79,0.604208333333332,64.1732804002829,5.3819,125.2985,2,"Van Jefferson","17","2020","5844","Jefferson, Van","WR","lar","h","ari","9","3000"
"14861","Juwan","Johnson","NOS","WR",25,0,"WR","average",1,155,0.0243333333333333,NA,1,1,4,"Juwan Johnson","17","2020","5883","Johnson, Juwan","WR","nor","a","car","1.4","3400"
"14862","Joe","Reed","LAC","WR",23,0,"WR","average",0.99,156,0.109333333333333,1.09302333003463,0.179,2.06,4,"Joe Reed","17","2020","5843","Reed, Joe","WR","lac","a","kan","0","3000"
"14864","Tyler","Johnson","TBB","WR",23,0,"WR","average",8.15833333333333,118,0.0669999999999984,11.2330809813396,1.3395,19.218,3,"Tyler Johnson","17","2020","5846","Johnson, Tyler","WR","tam","h","atl","2.6","3200"
"14865","Freddie","Swain","SEA","WR",23,0,"WR","average",2.4,139,0.0951666666666666,NA,2.4,2.4,3,"Freddie Swain","17","2020","5853","Swain, Freddie","WR","sea","a","sfo","0","3000"
"14867","Cole","Kmet","CHI","TE",22,0,"TE","average",60.7329166666667,27,0.947749999999999,65.9333028010125,3.57775,124.423,2,"Cole Kmet","17","2020","4778","Kmet, Cole","TE","chi","h","gnb","10.1","3000"
"14870","Adam","Trautman","NOS","TE",24,0,"TE","average",19.577,72,0.297000000000001,25.6469859242758,3.2031,44.8731,2,"Adam Trautman","17","2020","4784","Trautman, Adam","TE","nor","a","car","1.5","2500"
"14871","Colby","Parkinson","SEA","TE",22,0,"TE","average",0.9,100,0.159,NA,0.9,0.9,4,"Colby Parkinson","17","2020","4798","Parkinson, Colby","TE","sea","a","sfo","0","2500"
"14874","Hunter","Bryant","DET","TE",23,0,"TE","average",17.15,75,1.407,23.8294985259867,1.985,32.315,2,"Hunter Bryant","17","2020","4799","Bryant, Hunter","TE","det","h","min","0","2500"
"14936","Devin","Asiasi","NEP","TE",24,0,"TE","average",25.78275,60,0.593499999999999,34.6962088262776,0.34785,67.5535,2,"Devin Asiasi","17","2020","4779","Asiasi, Devin","TE","nwe","h","nyj","11.9","2500"
"14939","Dalton","Keene","NEP","TE",22,0,"TE","average",14.1933333333333,80,3.37816666666667,24.1684118910063,0.112,37.93,3,"Dalton Keene","17","2020","4791","Keene, Dalton","TE","nwe","h","nyj","1.6","2500"
"14969","John","Hightower","PHI","WR",25,0,"WR","average",3.4,136,0.615833333333334,NA,3.4,3.4,3,"John Hightower","17","2020","5856","Hightower, John","WR","phi","h","was","0.1","0"
"14973","Jason","Huntley","PHI","RB",23,0,"RB","average",0.8895,138,0.0764999999999999,1.27349931291697,0.0790500000000001,1.69995,3,"Jason Huntley","17","2020","5851","Huntley, Jason","RB","phi","h","was","1.5","0"
"14974","Darnell","Mooney","CHI","WR",24,0,"WR","average",90.75,54,1.69116666666667,114.622009230339,18.305,164.195,2,"Darnell Mooney","17","2020","5857","Mooney, Darnell","WR","chi","h","gnb","20.3","4100"
"14984","Charlie","Woerner","SFO","TE",24,0,"TE","average",24.18,64,0.226666666666667,13.4633131137919,15.612,32.748,2,"Charlie Woerner","17","2020","4797","Woerner, Charlie","TE","sfo","h","sea","1.3","2500"
"14996","Tyler","Davis","JAC","TE",24,0,"TE","average",0.09,106,0.12,NA,0.09,0.09,4,"Tyler Davis","17","2020","4790","Davis, Tyler","TE","jac","a","ind","0","2500"
"15021","Raymond","Calais","LAR","RB",23,0,"RB","average",9.54,100,0.375499999999999,NA,9.54,9.54,3,"Raymond Calais","17","2020","5866","Calais, Raymond","RB","lar","h","ari","0","4000"
"15022","Malcolm","Perry","MIA","RB",24,0,"WR","average",1.54,147,0.1395,NA,1.54,1.54,3,"Malcolm Perry","17","2020","5884","Perry, Malcolm","WR","mia","a","buf","9.5","3000"
"15027","Tyrie","Cleveland","DEN","WR",24,0,"WR","average",0.019,171,0.119,NA,0.019,0.019,6,"Tyrie Cleveland","17","2020","5862","Cleveland, Tyrie","WR","den","h","lvr","8.5","3000"
"15034","Marquez","Callaway","NOS","WR",23,0,"WR","average",1.7,145,0.12,NA,1.7,1.7,3,"Marquez Callaway","17","2020","5877","Callaway, Marquez","WR","nor","a","car","8.1","3200"
"15042","Jonathan","Ward","ARI","RB",24,0,"RB","average",19.648,82,3.28029166666667,19.3068435535175,1.3612,25.9348,2,"Jonathan Ward","17","2020","5903","Ward, Jonathan","RB","ari","a","lar","8.1","4000"
"0501","Buffalo","Bills","BUF","DST",NA,50,"DST","average",58.0875,17,0.259166666666665,57.8392989238286,1.19,113.08,3,"Buffalo Bills","17","2020","7004","Buffalo","Def","buf","h","mia","21","3200"
"0502","Indianapolis","Colts","IND","DST",NA,50,"DST","average",63.4775,6,1.40708333333333,62.7439512622532,1.182,123.22,1,"Indianapolis Colts","17","2020","7013","Indianapolis","Def","ind","h","jac","9","3900"
"0503","Miami","Dolphins","MIA","DST",NA,50,"DST","average",61.0658333333333,8,0.188749999999999,62.1739292629958,1.04,123.04,1,"Miami Dolphins","17","2020","7016","Miami","Def","mia","a","buf","1","2900"
"0504","New England","Patriots","NEP","DST",NA,50,"DST","average",57.6383333333333,19,0.814166666666665,59.5222319810002,6.047,112.22,4,"New England Patriots","17","2020","7018","New England","Def","nwe","h","nyj","8","3500"
"0506","Cincinnati","Bengals","CIN","DST",NA,50,"DST","average",45.1108333333333,31,NA,47.1818661316683,3.4455,87.425,7,"Cincinnati Bengals","17","2020","7007","Cincinnati","Def","cin","h","bal","-2","2100"
"0507","Cleveland","Browns","CLE","DST",NA,50,"DST","average",58.5075,16,0.454583333333325,59.7322934433293,0.906,116.3,3,"Cleveland Browns","17","2020","7008","Cleveland","Def","cle","h","pit","3","2500"
"0508","Tennessee","Titans","TEN","DST",NA,50,"DST","average",49.7175,28,2.00833333333333,51.5458102888424,5.0045,95.155,6,"Tennessee Titans","17","2020","7030","Tennessee","Def","ten","a","hou","2","2200"
