"team_code","name","checkname","team_name","team_id","games_played","games_started","uniform","year","code","shot_stats.penalty_kick_attempts","shot_stats.penalty_kick_goals","shot_stats.shots_on_goal","shot_stats.shots","shot_stats.points","shot_stats.assists","shot_stats.goals","shot_stats.penalty_shot_attempts","shot_stats.penalty_shot_goals","shot_stats.avg_shots_per_game","shot_stats.avg_sog_per_game","shot_stats.avg_points_per_game","shot_stats.avg_goals_per_game","shot_stats.avg_assists_per_game","goal_stats.game_tying","goal_stats.hattricks","goal_stats.overtime","goal_stats.first","goal_stats.unassisted","goal_stats.game_winning","goal_stats.avg_gw_per_game","caution_stats.fouls","caution_stats.red_cards","caution_stats.yellow_cards","caution_stats.avg_fouls_per_game","caution_stats.avg_yc_per_game","caution_stats.avg_rc_per_game","misc_stats.offsides","misc_stats.corner_kicks","misc_stats.minutes_played","misc_stats.defensive_saves","misc_stats.avg_corners_per_game","misc_stats.avg_offsides_per_game","goalie_stats.shots_faced","goalie_stats.ties","goalie_stats.losses","goalie_stats.wins","goalie_stats.shutouts","goalie_stats.save_percentage","goalie_stats.goals_against_avg","goalie_stats.saves","goalie_stats.goals_allowed","goalie_stats.minutes","goalie_stats.games_started","goalie_stats.games_played","goalie_stats.avg_ga_per_game","goalie_stats.avg_sho_per_game","goalie_stats.avg_saves_per_game"
"519","Adams, Kelsey","ADAMS,KELSEY","Ohio","OHIO","2","0","12","0","12",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,42:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Daugerdas, Courtney","DAUGERDAS,COURTNEY","Ohio","OHIO","20","20","23","0","23",0,0,5,11,0,0,0,0,0,.55,.25,.00,.000,.000,0,0,0,0,0,0,.000,7,0,0,.35,.00,.00,0,NA,973:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Leckie, Sydney","LECKIE,SYDNEY","Ohio","OHIO","19","18","18","0","18",0,0,18,30,9,5,2,1,0,1.58,.95,.47,.105,.263,0,0,0,2,0,1,.053,2,0,0,.11,.00,.00,0,NA,1457:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Milesky, Alivia","MILESKY,ALIVIA","Ohio","OHIO","20","20","11","0","11",0,0,26,52,24,6,9,0,0,2.60,1.30,1.20,.450,.300,1,0,1,3,1,2,.100,13,0,2,.65,.10,.00,0,NA,1617:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Miller, Alli","MILLER,ALLI","Ohio","OHIO","15","2","25","0","25",0,0,2,2,0,0,0,0,0,.13,.13,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,349:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Breeden, Victoria","BREEDEN,VICTORIA","Ohio","OHIO","20","20","14","0","14",0,0,4,6,0,0,0,0,0,.30,.20,.00,.000,.000,0,0,0,0,0,0,.000,6,0,3,.30,.15,.00,0,NA,1821:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Dirrig, Sarina","DIRRIG,SARINA","Ohio","OHIO","20","13","22","0","22",0,0,17,22,10,2,4,0,0,1.10,.85,.50,.200,.100,0,0,0,1,0,2,.100,3,0,0,.15,.00,.00,0,NA,801:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Knorr, Paige","KNORR,PAIGE","Ohio","OHIO","20","20","2","0","2",0,0,4,9,0,0,0,0,0,.45,.20,.00,.000,.000,0,0,0,0,0,0,.000,4,0,0,.20,.00,.00,0,NA,1130:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Malham, Sydney","MALHAM,SYDNEY","Ohio","OHIO","19","19","44","0","44",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,1657:00,0,.00,.00,180,0,7,6,0,.704,1.740,76,32,1654:53,15,17,1.68,.000,4.00
"519","Pappanastos, Paige","PAPPANASTOS,PAIGE","Ohio","OHIO","4","0","21","0","21",0,0,1,1,2,0,1,0,0,.25,.25,.50,.250,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,61:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Santacaterina, Jenni","SANTACATERINA,JENNI","Ohio","OHIO","19","16","7","0","7",0,0,6,13,1,1,0,0,0,.68,.32,.05,.000,.053,0,0,0,0,0,0,.000,8,0,0,.42,.00,.00,0,NA,1214:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Wexell, Sam","WEXELL,SAM","Ohio","OHIO","4","1","1","0","1",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,193:00,0,.00,.00,17,0,0,2,0,.500,1.412,3,3,191:14,1,3,.75,.000,.75
"519","Sensky, Olivia","SENSKY,OLIVIA","Ohio","OHIO","20","20","3","0","3",0,0,9,10,3,3,0,0,0,.50,.45,.15,.000,.150,0,0,0,0,0,0,.000,7,0,0,.35,.00,.00,0,NA,1830:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Maloney, Maeve","MALONEY,MAEVE","Ohio","OHIO","1","0","4","0","4",0,0,1,1,0,0,0,0,0,1.00,1.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,06:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Miller, Haley","MILLER,HALEY","Ohio","OHIO","3","0","10","0","10",0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,52:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Dickerson, Taylor","DICKERSON,TAYLOR","Ohio","OHIO","9","0","15","0","15",0,0,1,3,0,0,0,0,0,.33,.11,.00,.000,.000,0,0,0,0,0,0,.000,1,0,0,.11,.00,.00,0,NA,143:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Townsend, Abby","TOWNSEND,ABBY","Ohio","OHIO","20","20","16","0","16",0,0,32,61,22,12,5,0,0,3.05,1.60,1.10,.250,.600,0,0,1,3,0,2,.100,19,0,0,.95,.00,.00,0,NA,1528:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Collica, Morgan","COLLICA,MORGAN","Ohio","OHIO","20","19","26","0","26",0,0,3,7,2,0,1,0,0,.35,.15,.10,.050,.000,0,0,0,0,0,0,.000,6,0,0,.30,.00,.00,0,NA,1628:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Townsend, Lindsay","TOWNSEND,LINDSAY","Ohio","OHIO","12","0","32","0","32",0,0,2,5,0,0,0,0,0,.42,.17,.00,.000,.000,0,0,0,0,0,0,.000,3,0,0,.25,.00,.00,0,NA,252:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Giannou, Konstantina","GIANNOU,KONSTANTINA","Ohio","OHIO","17","0","19","0","19",0,0,2,2,3,1,1,0,0,.12,.12,.18,.059,.059,0,0,0,0,1,0,.000,3,0,0,.18,.00,.00,0,NA,284:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
