gID,date,attendance,homeTeam,homeTeamID,awayTeam,awayTeamID,homeScore,visitorScore
1814453,11/8/19,438,Bowling Green,BGSU,Buffalo,UB,2,1
1739146,8/22/19,0,Kentucky,UKY,Bowling Green,BGR,3,3
XUWSOC02,8/25/19,616,Xavier,XU,Bowling Green,BGSU,2,1
1739665,8/30/19,392,Bowling Green,BGSU,Valparaiso,VU,2,0
1740320,9/5/19,473,Bowling Green,BGSU,Dayton,Dayton,2,1
1740966,9/8/19,619,Michigan,MICH,Bowling Green,BGSU,2,0
091219MS,9/12/19,419,Michigan St.,MSU,Bowling Green,BGSU,3,2
1741810,9/15/19,270,DePaul,DEPAUL,Bowling Green,BGSU,1,1
WVUBGSU,9/22/19,1298,West Virginia,WVU,Bowling Green,BGSU,2,0
1744700,10/6/19,210,Ohio,OHIO,Bowling Green,BGSU,1,3
1816147,11/15/19,0,Michigan,MICH,Bowling Green,BGSU,2,1
1739048,8/22/19,0,Ohio,OHIO,Eastern Ky.,EKU,2,1
1739359,8/25/19,463,Northern Ky.,NKU,Ohio,OHI,0,1
1739548,8/30/19,427,Ohio,OHIO,Cleveland St.,CSU,2,1
WSOC04,9/1/19,402,MARSHALL,MAR,OHIO,OHIO,1,4
1740916,9/8/19,0,Ohio,OHIO,Southern Ill.,SIU,7,0
1741435,9/13/19,457,Ohio,OHIO,Robert Morris,RMU,0,1
1741997,9/15/19,1255,Ohio St.,OSU,Ohio,OHI,3,1
GAME09,9/20/19,711,Georgetown,GU,Ohio,OHIO,7,0
